label,rms_x,rms_y,rms_z,peak_freq_x,peak_freq_y,peak_freq_z,kurtosis_z,server_time
motor_bad,16.6949,20.1397,75.1134,2.87,2.71,4.68,62.9533,2026-02-07 10:21:41
motor_bad,58.3956,52.6334,87.2429,3.51,6.12,3.83,29.6334,2026-02-07 10:21:41
motor_bad,104.5167,77.9412,102.9218,7.55,21.86,4.87,28.3281,2026-02-07 10:21:41
motor_bad,83.7108,103.0912,154.7578,3.8,77.3,3.45,12.4389,2026-02-07 10:21:41
motor_bad,49.3107,42.1501,102.5059,20.45,29.67,4.03,19.8595,2026-02-07 10:21:41
motor_bad,31.6958,60.1049,152.5961,3.15,16.33,23.3,11.1576,2026-02-07 10:21:49
motor_bad,44.8455,69.5145,128.5501,2.82,7.6,6.97,13.8677,2026-02-07 10:21:49
motor_bad,61.3237,52.6399,113.3762,3.93,3.77,3.17,19.4778,2026-02-07 10:21:49
motor_bad,26.8302,40.9018,106.9575,3.14,7.78,3.59,21.3693,2026-02-07 10:21:49
motor_bad,51.7006,64.8962,137.0231,4.22,30.52,4.42,11.9106,2026-02-07 10:21:49
motor_bad,57.0536,41.6329,126.8392,6.24,0.69,4.98,14.9713,2026-02-07 10:21:54
motor_bad,60.5524,49.4715,93.3416,9.81,40.77,5.93,24.2173,2026-02-07 10:21:54
motor_bad,16.9694,48.7156,67.9332,4.77,10.83,3.77,66.038,2026-02-07 10:21:54
motor_bad,18.593,36.3738,103.2462,3.83,0.83,3.94,27.8074,2026-02-07 10:21:54
motor_bad,14.61,30.3726,65.8382,4.04,39.41,4.73,65.4293,2026-02-07 10:21:54
motor_bad,25.188,96.7377,119.1279,5.25,12.92,3.48,21.4001,2026-02-07 10:22:00
motor_bad,44.1855,37.0883,88.0637,3.38,37.67,4.54,36.0715,2026-02-07 10:22:00
motor_bad,52.535,60.8021,115.4153,3.85,21.23,6.02,18.7624,2026-02-07 10:22:00
motor_bad,25.3734,35.1612,112.2262,3.89,1.58,5.4,20.5067,2026-02-07 10:22:00
motor_bad,37.0075,94.097,130.0635,3.05,99.98,4.68,18.8591,2026-02-07 10:22:00
motor_bad,48.6517,22.4018,83.4179,4.93,-0.07,3.38,33.9621,2026-02-07 10:22:05
motor_bad,32.057,51.5915,147.1033,4.89,2.05,6.96,13.2501,2026-02-07 10:22:05
motor_bad,50.2466,51.4391,107.6655,4.23,2.69,3.95,22.1018,2026-02-07 10:22:05
motor_bad,78.5852,24.6668,91.5118,3.71,2.89,3.16,31.6576,2026-02-07 10:22:05
motor_bad,220.2865,21.7219,125.627,-64.29,0.56,21.37,37.9947,2026-02-07 10:22:05
motor_bad,62.0997,29.9557,115.4369,2.55,-99.27,9.09,64.0675,2026-02-07 10:22:10
motor_bad,173.5799,25.2132,120.2555,-46.76,4.77,6.86,65.5904,2026-02-07 10:22:10
motor_bad,125.1911,21.4967,112.2743,5.73,72.3,6.37,58.4717,2026-02-07 10:22:10
motor_bad,47.2563,30.7386,115.2687,6.92,9.58,7.08,68.6475,2026-02-07 10:22:10
motor_bad,165.2949,27.8056,123.3442,6.24,18.56,7.42,62.5992,2026-02-07 10:22:10
