label,rms_x,rms_y,rms_z,peak_freq_x,peak_freq_y,peak_freq_z,kurtosis_z,server_time
motor_NA,12.1252,1.4984,67.7536,7.16,6.91,7.15,68.5191,2026-02-07 22:37:48
motor_NA,12.108,1.5162,67.7815,7.12,7.17,7.13,68.5366,2026-02-07 22:37:48
motor_NA,12.1196,1.5094,67.795,7.14,7.31,7.12,68.539,2026-02-07 22:37:48
motor_NA,12.1055,1.5115,67.8327,7.13,6.84,7.12,68.5322,2026-02-07 22:37:48
motor_NA,12.1147,1.4977,67.7937,7.12,7.31,7.13,68.5626,2026-02-07 22:37:48
motor_NA,12.1051,1.5152,67.8345,7.09,7.02,7.13,68.5262,2026-02-07 22:37:54
motor_NA,12.1335,1.5419,67.8029,7.16,7.2,7.12,68.5009,2026-02-07 22:37:54
motor_NA,12.086,1.5229,67.8594,7.1,7.24,7.13,68.4968,2026-02-07 22:37:54
motor_NA,12.118,1.5016,67.849,7.14,7.13,7.13,68.5396,2026-02-07 22:37:54
motor_NA,12.116,1.4925,67.7956,7.13,6.99,7.12,68.5457,2026-02-07 22:37:54
motor_NA,12.1178,1.5175,67.8288,7.14,7.14,7.12,68.5514,2026-02-07 22:38:04
motor_NA,12.1034,1.5068,67.8448,7.14,7.23,7.14,68.5343,2026-02-07 22:38:04
motor_NA,12.1059,1.5219,67.8312,7.09,7.11,7.14,68.5454,2026-02-07 22:38:04
motor_NA,12.1132,1.5059,67.8297,7.13,6.6,7.13,68.5549,2026-02-07 22:38:04
motor_NA,12.1229,1.6251,67.9126,7.13,6.26,7.13,68.4916,2026-02-07 22:38:04
motor_NA,12.0746,1.4963,67.9037,7.16,7.02,7.14,68.5189,2026-02-07 22:38:34
motor_NA,12.0863,1.5177,67.9459,7.13,7.22,7.13,68.5375,2026-02-07 22:38:34
motor_NA,12.0833,1.4973,67.9326,7.1,6.92,7.13,68.5183,2026-02-07 22:38:34
motor_NA,12.108,1.5131,67.9549,7.1,7.22,7.14,68.5269,2026-02-07 22:38:34
motor_NA,12.0878,1.5162,67.9119,7.12,6.81,7.13,68.5538,2026-02-07 22:38:34
motor_NA,12.0737,1.5131,67.9703,7.14,6.8,7.11,68.543,2026-02-07 22:38:51
motor_NA,12.0657,1.5093,67.9608,7.15,6.94,7.13,68.5546,2026-02-07 22:38:51
motor_NA,12.0829,1.4987,67.9821,7.15,7.24,7.14,68.5448,2026-02-07 22:38:51
motor_NA,12.0733,1.5256,67.9824,7.11,7.18,7.13,68.5389,2026-02-07 22:38:51
motor_NA,12.0808,1.5271,67.9576,7.15,7.05,7.13,68.5538,2026-02-07 22:38:51
motor_NA,12.0934,1.5152,67.9476,7.15,6.8,7.14,68.5394,2026-02-07 22:39:14
motor_NA,12.1016,1.5176,67.9655,7.14,6.86,7.13,68.5366,2026-02-07 22:39:14
motor_NA,12.0814,1.4942,67.9093,7.15,6.68,7.12,68.5566,2026-02-07 22:39:14
motor_NA,12.0827,1.5204,67.9569,7.16,7.17,7.13,68.5284,2026-02-07 22:39:14
motor_NA,12.0655,1.4765,68.0031,7.13,6.86,7.13,68.5297,2026-02-07 22:39:14
motor_NA,12.0938,1.515,68.0786,7.12,6.9,7.14,68.5339,2026-02-07 22:39:38
motor_NA,12.0861,1.5408,68.0474,7.15,7.17,7.12,68.5277,2026-02-07 22:39:38
motor_NA,12.0953,1.5268,68.0755,7.11,6.82,7.13,68.5288,2026-02-07 22:39:38
motor_NA,12.0964,1.5116,68.038,7.15,6.82,7.12,68.5826,2026-02-07 22:39:38
motor_NA,12.0666,1.5332,68.0888,7.12,7.12,7.13,68.5421,2026-02-07 22:39:38
motor_NA,12.0751,1.5018,68.0245,7.19,7.04,7.13,68.5229,2026-02-07 22:39:41
motor_NA,12.0992,1.511,68.0272,7.14,7.02,7.13,68.5106,2026-02-07 22:39:41
motor_NA,12.0698,1.4996,68.0547,7.13,7.02,7.13,68.5315,2026-02-07 22:39:41
motor_NA,12.0857,1.4935,67.9851,7.15,7.0,7.12,68.5819,2026-02-07 22:39:41
motor_NA,12.0591,1.504,67.994,7.13,6.89,7.13,68.5489,2026-02-07 22:39:41
motor_NA,12.057,1.4957,67.8922,7.06,7.43,7.13,68.5393,2026-02-07 22:39:48
motor_NA,12.0916,1.4981,67.9167,7.13,6.63,7.13,68.5454,2026-02-07 22:39:48
motor_NA,12.0614,1.5171,67.898,7.07,6.96,7.13,68.5275,2026-02-07 22:39:48
motor_NA,12.0777,1.4992,67.9264,7.11,6.86,7.13,68.5249,2026-02-07 22:39:48
motor_NA,12.0776,1.4986,67.9045,7.17,7.28,7.13,68.5433,2026-02-07 22:39:48
motor_NA,12.0907,1.5321,68.0831,7.12,6.93,7.13,68.5226,2026-02-07 22:39:49
motor_NA,12.079,1.5423,68.0811,7.12,7.1,7.13,68.5656,2026-02-07 22:39:49
motor_NA,12.103,1.548,68.0717,7.12,7.28,7.13,68.5276,2026-02-07 22:39:49
motor_NA,12.0867,1.5243,68.0728,7.14,6.92,7.13,68.5449,2026-02-07 22:39:49
motor_NA,12.0842,1.525,68.0993,7.15,6.9,7.13,68.521,2026-02-07 22:39:49
