label,rms_x,rms_y,rms_z,peak_freq_x,peak_freq_y,peak_freq_z,kurtosis_z,server_time
motor_bad,23.5381,21.2357,62.095,6.87,7.57,6.65,68.9312,2026-02-07 01:58:39
motor_bad,23.0581,19.5101,63.092,6.94,6.72,7.11,68.4637,2026-02-07 01:58:39
motor_bad,22.9429,19.7794,62.1107,7.01,7.13,6.85,68.467,2026-02-07 01:58:39
motor_bad,22.8726,19.3371,63.1535,6.96,7.04,7.09,68.284,2026-02-07 01:58:39
motor_bad,23.0355,18.9979,63.3512,7.15,6.95,7.18,68.0953,2026-02-07 01:58:39
motor_bad,22.8671,18.1564,63.2147,7.2,6.68,7.04,68.4583,2026-02-07 01:58:44
motor_bad,23.2884,18.727,63.3784,7.06,7.02,7.23,68.3978,2026-02-07 01:58:44
motor_bad,23.5188,18.8657,63.0273,7.23,7.16,7.04,68.1295,2026-02-07 01:58:44
motor_bad,23.8143,18.4758,62.5826,7.29,6.77,6.88,68.7151,2026-02-07 01:58:44
motor_bad,24.2264,18.8124,62.8134,7.43,7.3,7.16,68.2286,2026-02-07 01:58:44
motor_bad,24.0965,18.6679,63.1453,7.03,7.53,6.95,68.3481,2026-02-07 01:58:50
motor_bad,24.0657,17.8338,63.0898,7.12,6.84,7.09,68.4218,2026-02-07 01:58:50
motor_bad,23.863,17.8071,63.2985,6.89,5.95,7.31,67.7587,2026-02-07 01:58:50
motor_bad,23.9392,17.7372,63.5635,6.59,6.9,6.84,68.8161,2026-02-07 01:58:50
motor_bad,24.0422,17.5296,62.8069,6.82,7.1,7.02,68.4579,2026-02-07 01:58:50
motor_bad,24.3508,17.7587,63.5036,7.11,7.08,7.25,68.198,2026-02-07 01:58:55
motor_bad,24.6416,17.8752,62.9249,7.12,7.12,7.04,68.4045,2026-02-07 01:58:55
motor_bad,25.079,17.9903,63.4814,6.16,6.21,6.19,68.7853,2026-02-07 01:58:55
motor_bad,24.8571,17.713,63.029,7.08,7.14,7.1,68.5845,2026-02-07 01:58:55
motor_bad,24.522,17.1809,63.2857,6.87,6.88,7.14,68.1871,2026-02-07 01:58:55
motor_bad,24.4689,17.1223,63.0975,6.82,6.99,7.11,68.5279,2026-02-07 01:59:01
motor_bad,24.7855,16.8472,63.4462,7.13,6.96,7.17,68.265,2026-02-07 01:59:01
motor_bad,24.1605,15.7269,63.7105,6.89,6.89,7.02,68.4439,2026-02-07 01:59:01
motor_bad,24.3447,14.6474,64.0496,7.2,7.0,7.12,68.0499,2026-02-07 01:59:01
motor_bad,24.4421,14.9051,63.4322,7.07,6.99,6.92,68.3633,2026-02-07 01:59:01
motor_bad,24.5801,15.03,63.2787,7.03,6.93,7.05,68.6746,2026-02-07 01:59:06
motor_bad,24.6547,14.9896,63.5539,7.06,6.89,7.04,68.6307,2026-02-07 01:59:06
motor_bad,24.9828,15.163,63.4132,7.11,6.97,7.1,68.3493,2026-02-07 01:59:06
motor_bad,24.9979,15.2742,63.5767,7.05,7.04,7.07,68.3471,2026-02-07 01:59:06
motor_bad,25.2185,15.0362,63.34,7.21,6.75,7.0,68.6238,2026-02-07 01:59:06
motor_bad,25.2384,15.0555,63.1926,7.12,6.98,7.12,68.4209,2026-02-07 01:59:11
motor_bad,25.2743,15.1464,63.2937,7.12,7.2,7.14,68.5873,2026-02-07 01:59:11
motor_bad,25.4738,15.0976,62.9453,6.97,7.42,7.08,68.4374,2026-02-07 01:59:11
motor_bad,25.4521,15.0231,63.4031,7.1,6.94,7.11,68.3826,2026-02-07 01:59:11
motor_bad,25.4028,14.9832,63.0725,7.14,7.11,7.1,68.4513,2026-02-07 01:59:11
motor_bad,25.4178,14.6281,63.3457,6.93,6.23,7.16,68.3085,2026-02-07 01:59:17
motor_bad,25.2544,14.4308,63.5766,7.06,6.91,7.17,68.4625,2026-02-07 01:59:17
motor_bad,25.258,14.3833,63.5464,7.05,6.88,7.09,68.405,2026-02-07 01:59:17
motor_bad,25.3123,14.363,63.3674,7.19,7.12,7.04,68.6609,2026-02-07 01:59:17
motor_bad,25.6496,14.0049,63.6007,6.82,6.12,7.2,68.1454,2026-02-07 01:59:17
motor_bad,18.6698,6.2106,66.7722,5.28,4.19,7.32,68.1698,2026-02-07 01:59:22
motor_bad,17.6454,6.0702,66.9485,6.39,6.71,7.11,68.5729,2026-02-07 01:59:22
motor_bad,16.3563,4.6204,67.8858,8.23,29.23,6.56,69.3487,2026-02-07 01:59:22
motor_bad,20.0262,10.6028,68.7267,0.04,19.94,7.06,64.4738,2026-02-07 01:59:22
motor_bad,23.2766,7.2571,65.9473,3.14,2.72,13.43,59.5595,2026-02-07 01:59:22
