label,rms_x,rms_y,rms_z,peak_freq_x,peak_freq_y,peak_freq_z,kurtosis_z,server_time
motor_good,12.7046,1.2752,68.2412,7.13,6.96,7.13,68.5171,2026-02-07 23:03:48
motor_good,12.7046,1.2885,68.1932,7.11,7.55,7.12,68.5551,2026-02-07 23:03:48
motor_good,12.7361,1.2429,68.2605,7.15,6.88,7.13,68.5771,2026-02-07 23:03:48
motor_good,12.7256,1.2457,68.2277,7.15,6.44,7.13,68.5267,2026-02-07 23:03:48
motor_good,12.731,1.2492,68.2372,7.15,6.62,7.14,68.524,2026-02-07 23:03:48
motor_good,12.8763,2.2267,68.0413,6.43,4.84,7.1,68.596,2026-02-07 23:03:54
motor_good,12.5507,2.4853,68.3188,6.22,5.74,7.12,68.4459,2026-02-07 23:03:54
motor_good,12.4199,2.6724,68.6689,6.89,7.69,7.01,68.3084,2026-02-07 23:03:54
motor_good,13.4106,2.6851,68.3789,6.93,6.67,7.16,67.8943,2026-02-07 23:03:54
motor_good,13.7951,2.6893,68.3251,7.25,6.38,7.12,68.1697,2026-02-07 23:03:54
motor_good,13.9585,2.8585,68.0933,7.1,6.0,7.0,68.2863,2026-02-07 23:03:59
motor_good,13.8833,2.8268,68.092,6.45,5.59,6.69,67.8787,2026-02-07 23:03:59
motor_good,13.7273,2.7119,67.8242,5.71,4.62,6.28,68.8917,2026-02-07 23:03:59
motor_good,13.7492,2.789,68.016,6.78,7.16,7.05,68.2926,2026-02-07 23:03:59
motor_good,13.9059,2.635,68.503,7.09,6.99,7.13,68.252,2026-02-07 23:03:59
motor_good,13.7879,2.6593,68.221,6.92,5.5,7.16,67.941,2026-02-07 23:04:05
motor_good,13.8025,2.6852,68.389,6.8,5.59,7.13,67.9971,2026-02-07 23:04:05
motor_good,13.6126,2.6391,68.1174,6.46,4.92,7.05,68.0787,2026-02-07 23:04:05
motor_good,13.7339,2.7202,68.3489,6.87,6.38,7.01,68.3513,2026-02-07 23:04:05
motor_good,13.7034,2.7027,68.1791,6.42,6.07,7.06,68.0034,2026-02-07 23:04:05
motor_good,13.7974,3.2112,68.9664,7.02,7.78,7.02,67.6,2026-02-07 23:04:10
motor_good,13.7486,3.1522,67.0192,6.49,6.47,6.27,68.7242,2026-02-07 23:04:10
