label,rms_x,rms_y,rms_z,peak_freq_x,peak_freq_y,peak_freq_z,kurtosis_z,server_time
motor_good,12.1072,1.7303,68.11,7.1,6.86,7.13,68.5474,2026-02-07 10:24:19
motor_good,98.6247,5.6248,77.9899,-1425.74,20.58,2.47,31.8564,2026-02-07 10:24:19
motor_good,116.9002,17.9803,92.1104,4.84,3.66,6.78,13.8582,2026-02-07 10:24:19
motor_good,94.717,5.9792,87.7608,7.07,3.63,4.96,17.1938,2026-02-07 10:24:19
motor_good,185.428,3.5208,97.2095,24.76,9.17,10.11,27.5862,2026-02-07 10:24:19
motor_good,45.9134,2.5189,119.54,3.04,3.31,10.32,25.2314,2026-02-07 10:24:25
motor_good,72.1596,4.6673,161.031,5.66,-68.55,10.99,8.1759,2026-02-07 10:24:25
motor_good,35.8045,8.4122,71.5905,2.68,-0.85,5.09,47.5349,2026-02-07 10:24:25
motor_good,44.8806,2.7293,74.7436,4.03,2.39,5.19,46.9765,2026-02-07 10:24:25
motor_good,72.3183,4.0566,101.1072,6.37,2.97,5.87,30.3304,2026-02-07 10:24:25
motor_good,57.0263,2.1427,80.2062,4.57,4.14,4.96,38.091,2026-02-07 10:24:30
motor_good,35.4655,6.3615,75.0358,25.56,5.34,5.47,45.1627,2026-02-07 10:24:30
motor_good,41.4436,2.2759,70.79,5.85,1.63,5.11,49.3644,2026-02-07 10:24:30
motor_good,30.6408,1.6857,81.7279,3.76,2.97,7.46,32.6535,2026-02-07 10:24:30
motor_good,31.2984,2.047,80.7016,4.0,1.33,5.95,43.8229,2026-02-07 10:24:30
motor_good,76.2655,2.6152,93.0544,8.66,2.83,5.81,29.9565,2026-02-07 10:24:35
motor_good,21.8675,3.0139,72.6001,4.69,4.2,5.38,62.1756,2026-02-07 10:24:35
motor_good,14.593,1.9883,68.3386,6.29,3.26,7.36,67.798,2026-02-07 10:24:35
motor_good,40.9574,2.5881,94.0148,4.4,1.41,4.57,35.5079,2026-02-07 10:24:35
motor_good,59.1739,4.4238,142.3757,4.62,0.46,3.16,44.6996,2026-02-07 10:24:35
motor_good,119.3917,29.5435,119.4974,5.19,5.18,5.98,68.1267,2026-02-07 10:24:41
motor_good,106.4498,28.7084,118.4227,4.62,5.3,6.73,64.0937,2026-02-07 10:24:41
motor_good,87.4212,29.9196,125.889,4.08,5.37,6.67,49.8521,2026-02-07 10:24:41
motor_good,151.5222,28.5979,115.4709,9.97,3.96,7.8,57.7564,2026-02-07 10:24:41
motor_good,129.7257,28.5138,106.0228,3.32,4.36,4.35,59.1391,2026-02-07 10:24:41
motor_good,70.7539,29.1295,116.992,6.66,4.76,6.74,64.1968,2026-02-07 10:24:46
motor_good,88.4678,31.2091,119.7299,4.64,5.23,6.9,65.6168,2026-02-07 10:24:46
motor_good,47.4075,30.8941,112.8847,6.22,5.87,7.06,68.3969,2026-02-07 10:24:46
motor_good,105.3295,29.5256,120.4358,4.65,6.7,7.53,64.499,2026-02-07 10:24:46
motor_good,83.9195,32.2235,113.4592,4.9,7.4,7.04,64.0963,2026-02-07 10:24:46
motor_good,109.5789,28.4166,118.6333,2.99,4.69,7.03,63.9769,2026-02-07 10:24:51
motor_good,69.2425,27.1379,111.0101,3.33,5.13,5.34,62.2097,2026-02-07 10:24:51
motor_good,99.9061,31.7551,114.7069,5.46,5.38,6.79,63.9872,2026-02-07 10:24:51
motor_good,88.2573,30.3119,113.478,6.55,4.27,6.03,66.6032,2026-02-07 10:24:51
motor_good,85.8236,32.4833,114.9134,4.72,6.12,6.09,69.6953,2026-02-07 10:24:51
motor_good,95.2099,29.6832,112.678,6.29,5.51,5.51,63.5645,2026-02-07 10:24:57
motor_good,57.887,29.867,108.5818,4.76,7.07,5.49,67.9099,2026-02-07 10:24:57
motor_good,96.0704,34.4642,117.2004,3.95,5.37,7.13,65.0694,2026-02-07 10:24:57
motor_good,64.1186,32.7876,113.0051,4.77,5.89,6.41,67.4392,2026-02-07 10:24:57
motor_good,70.698,32.1814,119.1515,3.11,7.18,6.56,65.9449,2026-02-07 10:24:57
